"beginning_of_interval","post_count","total_interactions"
2015-01-01,4125,269593
2015-02-01,4233,264807
2015-03-01,4688,276166
2015-04-01,4594,309416
2015-05-01,5501,486107
2015-06-01,5511,635514
2015-07-01,6094,520259
2015-08-01,5773,622210
2015-09-01,5895,607679
2015-10-01,6163,587890
2015-11-01,6171,820166
2015-12-01,6124,730071
2016-01-01,6149,858146
2016-02-01,6015,631970
2016-03-01,6401,809075
2016-04-01,6372,793698
2016-05-01,5955,1081838
2016-06-01,6594,1081192
2016-07-01,6612,1085960
2016-08-01,6573,1034825
2016-09-01,6500,1058162
2016-10-01,6274,984544
2016-11-01,6151,959512
2016-12-01,6262,1149035
2017-01-01,6626,1137618
2017-02-01,6558,1041006
2017-03-01,7325,908604
2017-04-01,7047,861273
2017-05-01,7556,809944
2017-06-01,7536,969809
2017-07-01,7500,1085414
2017-08-01,6880,1050666
2017-09-01,6903,1127630
2017-10-01,7266,1165671
2017-11-01,7350,1342502
2017-12-01,6865,1091017
2018-01-01,7173,1387092
2018-02-01,6757,1196671
2018-03-01,7149,1280369
2018-04-01,6992,818804
2018-05-01,7046,980813
2018-06-01,6990,898345
2018-07-01,7119,998936
2018-08-01,6796,1024200
2018-09-01,6843,917851
2018-10-01,7544,959590
2018-11-01,7046,1136091
2018-12-01,6605,880287
2019-01-01,7302,1292071
2019-02-01,6595,1001985
2019-03-01,6921,1235264
2019-04-01,6519,1210376
2019-05-01,6791,1450846
2019-06-01,6462,1263781
2019-07-01,6667,1323313
2019-08-01,6267,1176042
2019-09-01,6355,1103547
2019-10-01,6898,1367468
2019-11-01,6645,1421249
2019-12-01,6444,1591757
2020-01-01,6942,1436514
2020-02-01,6879,1387786
2020-03-01,8650,2254588
2020-04-01,7635,1772834
2020-05-01,6961,1490208
2020-06-01,6609,1536996
2020-07-01,7286,1714003
2020-08-01,6952,1846693
2020-09-01,7180,2074206
2020-10-01,7503,1970749
2020-11-01,7497,2052292
2020-12-01,7130,2048811
