"beginning_of_interval","page_likes"
2018-12-30,11125
2018-12-31,11128
2019-01-01,11134
2019-01-02,11136
2019-01-03,11136
2019-01-04,11132
2019-01-05,11137
2019-01-06,11142
2019-01-07,11145
2019-01-08,11145
2019-01-09,11146
2019-01-10,11151
2019-01-11,11152
2019-01-12,11154
2019-01-13,11163
2019-01-14,11176
2019-01-15,11179
2019-01-16,11191
2019-01-17,11192
2019-01-18,11197
2019-01-19,11200
2019-01-20,11210
2019-01-21,11214
2019-01-22,11221
2019-01-23,11225
2019-01-24,11228
2019-01-25,11230
2019-01-26,11233
2019-01-27,11239
2019-01-28,11241
2019-01-29,11243
2019-01-30,11246
2019-01-31,11251
2019-02-01,11252
2019-02-02,11250
2019-02-03,11256
2019-02-04,11257
2019-02-05,11262
2019-02-06,11452
2019-02-07,11479
2019-02-08,11477
2019-02-09,11478
2019-02-10,11479
2019-02-11,11480
2019-02-12,11482
2019-02-13,11483
2019-02-14,11482
2019-02-15,11483
2019-02-16,11483
2019-02-17,11483
2019-02-18,11492
2019-02-19,11496
2019-02-20,11502
2019-02-21,11506
2019-02-22,11506
2019-02-23,11510
2019-02-24,11511
2019-02-25,11511
2019-02-26,11511
2019-02-27,11510
2019-02-28,11511
2019-03-01,11513
2019-03-02,11513
2019-03-03,11514
2019-03-04,11518
2019-03-05,11520
2019-03-06,11524
2019-03-07,11525
2019-03-08,11526
2019-03-09,11525
2019-03-10,11529
2019-03-11,11531
2019-03-12,11535
2019-03-13,11537
2019-03-14,11542
2019-03-15,11540
2019-03-16,11541
2019-03-17,11544
2019-03-18,11553
2019-03-19,11555
2019-03-20,11555
2019-03-21,11557
2019-03-22,11561
2019-03-23,11560
2019-03-24,11561
2019-03-25,11567
2019-03-26,11565
2019-03-27,11569
2019-03-28,11569
2019-03-29,11571
2019-03-30,11570
2019-03-31,11574
2019-04-01,11582
2019-04-02,11583
2019-04-03,11584
2019-04-04,11589
2019-04-05,11586
2019-04-06,11588
2019-04-07,11590
2019-04-08,11590
2019-04-09,11597
2019-04-10,11600
2019-04-11,11604
2019-04-12,11603
2019-04-13,11606
2019-04-14,11606
2019-04-15,11610
2019-04-16,11612
2019-04-17,11611
2019-04-18,11611
2019-04-19,11612
2019-04-20,11612
2019-04-21,11613
2019-04-22,11613
2019-04-23,11616
2019-04-24,11624
2019-04-25,11632
2019-04-26,11632
2019-04-27,11637
2019-04-28,11639
2019-04-29,11638
2019-04-30,11646
2019-05-01,11644
2019-05-02,11642
2019-05-03,11640
2019-05-04,11640
2019-05-05,11640
2019-05-06,11639
2019-05-07,11641
2019-05-08,11642
2019-05-09,11645
2019-05-10,11649
2019-05-11,11647
