"beginning_of_interval","page_likes"
2018-12-30,24618
2018-12-31,24633
2019-01-01,24648
2019-01-02,24667
2019-01-03,24692
2019-01-04,24711
2019-01-05,24736
2019-01-06,24775
2019-01-07,24823
2019-01-08,24869
2019-01-09,24895
2019-01-10,24924
2019-01-11,24951
2019-01-12,24965
2019-01-13,25009
2019-01-14,25039
2019-01-15,25064
2019-01-16,25103
2019-01-17,25142
2019-01-18,25172
2019-01-19,25199
2019-01-20,25232
2019-01-21,25264
2019-01-22,25331
2019-01-23,25394
2019-01-24,25433
2019-01-25,25462
2019-01-26,25515
2019-01-27,25610
2019-01-28,25678
2019-01-29,25826
2019-01-30,25888
2019-01-31,25928
2019-02-01,26016
2019-02-02,26051
2019-02-03,26111
2019-02-04,26150
2019-02-05,26176
2019-02-06,26207
2019-02-07,26244
2019-02-08,26269
2019-02-09,26284
2019-02-10,26305
2019-02-11,26333
2019-02-12,26376
2019-02-13,26412
2019-02-14,26466
2019-02-15,26488
2019-02-16,26502
2019-02-17,26512
2019-02-18,26538
2019-02-19,26566
2019-02-20,26586
2019-02-21,26622
2019-02-22,26643
2019-02-23,26655
2019-02-24,26676
2019-02-25,26707
2019-02-26,26732
2019-02-27,26782
2019-02-28,26817
2019-03-01,26837
2019-03-02,26857
2019-03-03,26893
2019-03-04,26926
2019-03-05,26961
2019-03-06,26988
2019-03-07,27019
2019-03-08,27049
2019-03-09,27091
2019-03-10,27148
2019-03-11,27224
2019-03-12,27269
2019-03-13,27429
2019-03-14,27924
2019-03-15,28061
2019-03-16,28170
2019-03-17,28264
2019-03-18,28330
2019-03-19,28416
2019-03-20,28483
2019-03-21,28518
2019-03-22,28561
2019-03-23,28599
2019-03-24,28637
2019-03-25,28683
2019-03-26,28744
2019-03-27,28799
2019-03-28,28843
2019-03-29,28868
2019-03-30,28894
2019-03-31,28924
2019-04-01,28982
2019-04-02,29026
2019-04-03,29055
2019-04-04,29094
2019-04-05,29214
2019-04-06,29423
2019-04-07,29503
2019-04-08,29545
2019-04-09,29590
2019-04-10,29643
2019-04-11,29706
2019-04-12,29732
2019-04-13,29799
2019-04-14,29866
2019-04-15,29934
2019-04-16,29986
2019-04-17,30014
2019-04-18,30038
2019-04-19,30048
2019-04-20,30056
2019-04-21,30097
2019-04-22,30118
2019-04-23,30138
2019-04-24,30161
2019-04-25,30186
2019-04-26,30204
2019-04-27,30217
2019-04-28,30252
2019-04-29,30278
2019-04-30,30277
2019-05-01,30310
2019-05-02,30341
2019-05-03,30379
2019-05-04,30435
2019-05-05,30554
2019-05-06,30591
2019-05-07,30626
2019-05-08,30652
2019-05-09,30723
2019-05-10,30747
2019-05-11,30768
2019-05-12,30803
2019-05-13,30854
2019-05-14,30912
2019-05-15,30974
2019-05-16,31028
2019-05-17,31053
2019-05-18,31082
2019-05-19,31105
2019-05-20,31134
2019-05-21,31179
2019-05-22,31232
2019-05-23,31268
2019-05-24,31301
2019-05-25,31344
2019-05-26,31380
2019-05-27,31412
2019-05-28,31449
2019-05-29,31528
2019-05-30,31734
2019-05-31,32209
2019-06-01,32345
2019-06-02,32419
2019-06-03,32510
2019-06-04,32591
2019-06-05,32613
2019-06-06,32637
2019-06-07,32702
2019-06-08,32756
2019-06-09,32787
2019-06-10,32831
2019-06-11,32876
2019-06-12,32942
2019-06-13,33001
2019-06-14,33057
2019-06-15,33088
2019-06-16,33116
2019-06-17,33161
2019-06-18,33219
2019-06-19,33258
2019-06-20,33292
2019-06-21,33334
2019-06-22,33360
2019-06-23,33385
2019-06-24,33407
2019-06-25,33626
2019-06-26,33762
2019-06-27,33884
2019-06-28,33953
2019-06-29,33983
2019-06-30,34009
