"post_created_date","page_name"
2020-07-19,"Adnkronos"
2020-07-19,"La Gazzetta dello Sport"
2020-07-19,"Tutto Napoli"
2020-07-19,"L'Eco di Bergamo"
2020-07-19,"Il Mattino"
2020-07-19,"Tutto Napoli"
2020-07-19,"Leggo"
2020-07-19,"MilanoToday"
2020-07-19,"Il Gazzettino"
2020-07-19,"Giornale di Sicilia"
2020-07-19,"Tutto Napoli"
2020-07-19,"Corriere dello Sport"
2020-07-19,"ANSA.it"
2020-07-19,"La Stampa"
2020-07-19,"HuffPost Italia"
2020-07-19,"la Repubblica"
2020-07-19,"La Stampa"
2020-07-19,"VareseNews"
2020-07-19,"la Repubblica"
2020-07-19,"Today.it"
2020-07-19,"affaritaliani.it"
2020-07-19,"Il Mattino"
2020-07-19,"il Post"
2020-07-19,"Il Gazzettino"
2020-07-19,"Il Sussidiario.net"
2020-07-19,"La Stampa"
2020-07-19,"RomaToday"
2020-07-19,"la Repubblica"
2020-07-19,"Tutto Napoli"
2020-07-19,"HuffPost Italia"
2020-07-19,"Today.it"
2020-07-19,"VareseNews"
2020-07-19,"Adnkronos"
2020-07-19,"Milannews.it"
2020-07-19,"Tutto Napoli"
2020-07-19,"Corriere dello Sport"
2020-07-19,"La Stampa"
2020-07-19,"Il Mattino"
2020-07-19,"Blitz Quotidiano"
2020-07-19,"Il Secolo XIX"
2020-07-19,"il Post"
2020-07-19,"ANSA.it"
2020-07-19,"UrbanPost"
2020-07-19,"la Repubblica"
2020-07-19,"Linkiesta.it"
2020-07-19,"Adnkronos"
2020-07-19,"Corriere dello Sport"
2020-07-19,"Giornale di Sicilia"
2020-07-19,"Blitz Quotidiano"
2020-07-19,"La Gazzetta dello Sport"
2020-07-19,"Il Mattino"
2020-07-19,"Il Gazzettino"
2020-07-19,"Leggo"
2020-07-19,"Tutto Napoli"
2020-07-19,"La Nazione"
2020-07-19,"La Stampa"
2020-07-19,"Tutto Napoli"
2020-07-19,"L'Unione Sarda"
2020-07-19,"Tutto Napoli"
2020-07-19,"Adnkronos"
2020-07-19,"La Stampa"
2020-07-19,"Il Gazzettino"
2020-07-19,"L'Unione Sarda"
2020-07-19,"Tutto Napoli"
2020-07-19,"la Repubblica"
2020-07-19,"Il Sussidiario.net"
2020-07-19,"Il Sole 24 ORE"
2020-07-19,"Retenews24"
2020-07-19,"Corriere dello Sport"
2020-07-19,"RomaToday"
2020-07-19,"La Stampa"
2020-07-19,"Tutto Napoli"
2020-07-19,"Giornale di Sicilia"
2020-07-19,"la Repubblica"
2020-07-19,"Adnkronos"
2020-07-19,"Adnkronos"
2020-07-19,"Avvenire"
2020-07-19,"il Post"
2020-07-19,"Today.it"
2020-07-19,"Il Mattino"
2020-07-19,"Tutto Napoli"
2020-07-19,"La Nazione"
2020-07-19,"Il Sole 24 ORE"
2020-07-19,"Tutto Napoli"
2020-07-19,"Il Mattino"
2020-07-19,"Adnkronos"
2020-07-19,"La Gazzetta dello Sport"
2020-07-19,"VareseNews"
2020-07-19,"VareseNews"
2020-07-19,"la Repubblica"
2020-07-19,"Il Gazzettino"
2020-07-19,"Leggo"
2020-07-19,"Tutto Napoli"
2020-07-19,"Giornale di Sicilia"
2020-07-19,"Blitz Quotidiano"
2020-07-19,"Tutto Napoli"
2020-07-19,"Milannews.it"
2020-07-19,"Il Secolo XIX"
2020-07-19,"affaritaliani.it"
2020-07-19,"Libero"
2020-07-19,"VareseNews"
