date,count,total_count,ratio
"2011-01-01","2","2351","0.0008507018290089324"
"2011-01-02","2","11458","0.00017455053237912376"
"2011-01-03","2","4533","0.00044120891242003087"
"2011-01-04","2","4856","0.00041186161449752884"
"2011-01-05","1","4868","0.00020542317173377156"
"2011-01-06","1","5265","0.0001899335232668566"
"2011-01-07","2","4965","0.0004028197381671702"
"2011-01-08","1","3192","0.0003132832080200501"
"2011-01-09","0","3203","0"
"2011-01-10","0","4664","0"
"2011-01-11","3","4700","0.0006382978723404255"
"2011-01-12","2","4972","0.00040225261464199515"
"2011-01-13","1","5130","0.0001949317738791423"
"2011-01-14","1","4879","0.00020496003279360525"
"2011-01-15","2","3189","0.0006271558482282847"
"2011-01-16","4","2999","0.001333777925975325"
"2011-01-17","0","3870","0"
"2011-01-18","2","4906","0.00040766408479412964"
"2011-01-19","2","4828","0.00041425020712510354"
"2011-01-20","4","5203","0.000768787238131847"
"2011-01-21","1","4847","0.00020631318341242006"
"2011-01-22","2","3112","0.0006426735218508997"
"2011-01-23","1","2917","0.00034281796366129587"
"2011-01-24","1","4659","0.000214638334406525"
"2011-01-25","1","4825","0.0002072538860103627"
"2011-01-26","2","5124","0.00039032006245121"
"2011-01-27","6","5103","0.0011757789535567313"
"2011-01-28","0","5013","0"
"2011-01-29","0","3089","0"
"2011-01-30","1","2903","0.0003444712366517396"
"2011-01-31","0","4592","0"
"2011-02-01","1","5085","0.00019665683382497542"
"2011-02-02","4","5007","0.000798881565807869"
"2011-02-03","2","3351","0.000596836765144733"
"2011-02-04","1","4687","0.0002133560913164071"
"2011-02-05","1","2856","0.00035014005602240897"
"2011-02-06","7","3035","0.0023064250411861617"
"2011-02-07","4","4349","0.0009197516670498966"
"2011-02-08","2","4751","0.0004209640075773521"
"2011-02-09","2","4796","0.0004170141784820684"
"2011-02-10","6","4930","0.0012170385395537525"
"2011-02-11","3","4919","0.0006098800569221387"
"2011-02-12","0","2930","0"
"2011-02-13","2","2910","0.0006872852233676976"
"2011-02-14","0","4515","0"
"2011-02-15","2","4954","0.0004037141703673799"
"2011-02-16","4","5057","0.0007909827961241843"
"2011-02-17","0","4981","0"
"2011-02-18","1","4872","0.00020525451559934318"
"2011-02-19","1","2919","0.00034258307639602604"
"2011-02-20","4","2818","0.0014194464158978"
"2011-02-21","1","3771","0.00026518164942985947"
"2011-02-22","2","4263","0.0004691531785127844"
"2011-02-23","3","4212","0.0007122507122507123"
"2011-02-24","5","5338","0.0009366804046459348"
"2011-02-25","1","4801","0.00020828993959591752"
"2011-02-26","1","3114","0.0003211303789338471"
"2011-02-27","9","2982","0.0030181086519114686"
"2011-02-28","10","4917","0.002033760423022168"
"2011-03-01","0","4868","0"
"2011-03-02","3","5035","0.0005958291956305859"
"2011-03-03","1","5145","0.00019436345966958212"
"2011-03-04","1","4897","0.00020420665713702266"
"2011-03-05","0","2999","0"
"2011-03-06","2","2936","0.0006811989100817438"
"2011-03-07","1","4214","0.00023730422401518748"
"2011-03-08","3","4821","0.0006222775357809583"
"2011-03-09","1","4972","0.00020112630732099757"
"2011-03-10","1","5007","0.00019972039145196724"
"2011-03-11","1","5085","0.00019665683382497542"
"2011-03-12","2","3323","0.0006018657839301836"
"2011-03-13","3","3203","0.0009366219169528567"
"2011-03-14","2","4764","0.00041981528127623844"
"2011-03-15","1","5195","0.00019249278152069297"
"2011-03-16","3","5552","0.0005403458213256485"
"2011-03-17","3","5279","0.0005682894487592347"
"2011-03-18","3","5243","0.0005721914934197979"
"2011-03-19","0","3380","0"
"2011-03-20","1","3360","0.00029761904761904765"
"2011-03-21","1","5207","0.00019204916458613405"
"2011-03-22","5","5145","0.0009718172983479105"
"2011-03-23","4","5534","0.0007228044813877846"
"2011-03-24","1","5548","0.0001802451333813987"
"2011-03-25","1","5409","0.00018487705675725643"
"2011-03-26","2","3341","0.000598623166716552"
"2011-03-27","3","3019","0.0009937065253395165"
"2011-03-28","3","5089","0.0005895067793279622"
