"date","count","total_count","ratio"
2015-01-01,373,25611,0.0145640545078287
2015-01-02,387,31932,0.012119503945885
2015-01-03,289,24646,0.0117260407368336
2015-01-04,322,25513,0.0126210167365657
2015-01-05,567,39982,0.0141813816217298
2015-01-06,626,42366,0.0147759996223387
2015-01-07,507,45163,0.0112260035870071
2015-01-08,521,44928,0.0115963319088319
2015-01-09,531,44041,0.0120569469358098
2015-01-10,346,29093,0.0118928951981576
2015-01-11,364,27955,0.0130209264890002
2015-01-12,614,43457,0.0141289090365189
2015-01-13,636,51576,0.0123313168915775
2015-01-14,576,48413,0.0118976308016442
2015-01-15,585,49377,0.0118476213621727
2015-01-16,512,45452,0.0112646308193259
2015-01-17,338,28939,0.0116797401430595
2015-01-18,340,30206,0.0112560418459909
2015-01-19,539,44368,0.0121483952398125
2015-01-20,692,49347,0.0140231422376234
