date,count,total_count,ratio
"2015-01-01","1","25611","3.904572254109562e-05"
"2015-01-02","6","31932","0.00018789928598271326"
"2015-01-03","0","24646","0"
"2015-01-04","2","25513","7.839140830165014e-05"
"2015-01-05","3","39982","7.503376519433746e-05"
"2015-01-06","3","42366","7.08114997875655e-05"
"2015-01-07","3","45163","6.642605672785244e-05"
"2015-01-08","5","44928","0.00011128917378917379"
"2015-01-09","3","44041","6.811834427011194e-05"
"2015-01-10","0","29093","0"
"2015-01-11","5","27955","0.00017885888034340904"
"2015-01-12","2","43457","4.602250500494742e-05"
"2015-01-13","6","51576","0.00011633317822242904"
"2015-01-14","2","48413","4.131121806126454e-05"
"2015-01-15","6","49377","0.00012151406525305304"
"2015-01-16","7","45452","0.00015400862448297105"
"2015-01-17","2","28939","6.911088842047065e-05"
"2015-01-18","3","30206","9.931801628815468e-05"
"2015-01-19","4","44368","9.015506671474937e-05"
"2015-01-20","22","49347","0.0004458224410805115"
"2015-01-21","14","51083","0.0002740637785564669"
"2015-01-22","3","50193","5.9769290538521305e-05"
"2015-01-23","3","47205","6.355258976803305e-05"
"2015-01-24","1","30089","3.323473694705706e-05"
"2015-01-25","0","30105","0"
"2015-01-26","3","46099","6.507733356471941e-05"
"2015-01-27","3","48487","6.187225441871017e-05"
"2015-01-28","4","49770","8.036970062286517e-05"
"2015-01-29","6","49090","0.00012222448563862294"
"2015-01-30","3","44670","6.71591672263264e-05"
"2015-01-31","0","29935","0"
"2015-02-01","1","31250","3.2e-05"
"2015-02-02","3","46496","6.452167928423951e-05"
"2015-02-03","1","50532","1.9789440354626772e-05"
"2015-02-04","10","49699","0.0002012112919777058"
"2015-02-05","2","49763","4.019050298414485e-05"
"2015-02-06","2","45064","4.4381324338718264e-05"
"2015-02-07","6","29532","0.0002031694433157253"
"2015-02-08","1","31214","3.2036906516306786e-05"
"2015-02-09","3","46647","6.431281754453663e-05"
"2015-02-10","40","48866","0.0008185650554577825"
"2015-02-11","73","47312","0.0015429489347311464"
"2015-02-12","18","44525","0.0004042672655811342"
"2015-02-13","14","44469","0.00031482605860262203"
"2015-02-14","5","29014","0.0001723305990211622"
"2015-02-15","15","30365","0.0004939897908776552"
"2015-02-16","14","42032","0.0003330795584316711"
"2015-02-17","3","45812","6.548502575744346e-05"
"2015-02-18","5","47649","0.00010493399651619132"
"2015-02-19","3","45210","6.635700066357e-05"
"2015-02-20","5","44937","0.00011126688474976077"
"2015-02-21","4","28889","0.000138461005919208"
"2015-02-22","3","30367","9.879145124641881e-05"
"2015-02-23","0","45148","0"
"2015-02-24","8","50351","0.00015888462989811523"
"2015-02-25","6","50482","0.00011885424507745335"
"2015-02-26","2","48096","4.1583499667332004e-05"
"2015-02-27","7","45288","0.00015456633103691928"
"2015-02-28","1","29961","3.3376723073328663e-05"
"2015-03-01","0","29731","0"
"2015-03-02","2","47052","4.2506163393692086e-05"
"2015-03-03","4","49086","8.148963044452594e-05"
"2015-03-04","0","48608","0"
"2015-03-05","3","47250","6.349206349206349e-05"
"2015-03-06","2","43274","4.621712806766188e-05"
"2015-03-07","1","29097","3.4367804240987044e-05"
"2015-03-08","0","28383","0"
"2015-03-09","2","44765","4.467776164414163e-05"
"2015-03-10","1","49300","2.0283975659229208e-05"
"2015-03-11","0","48071","0"
"2015-03-12","3","49642","6.0432698118528664e-05"
"2015-03-13","3","44449","6.749308195909919e-05"
"2015-03-14","1","28888","3.461644973691498e-05"
"2015-03-15","3","31120","9.640102827763497e-05"
"2015-03-16","5","43859","0.00011400168722497094"
"2015-03-17","1","48949","2.0429426545996854e-05"
"2015-03-18","5","49736","0.00010053080263792826"
"2015-03-19","1","47424","2.1086369770580296e-05"
"2015-03-20","10","45633","0.00021913965770385468"
"2015-03-21","0","28017","0"
"2015-03-22","1","27900","3.5842293906810036e-05"
"2015-03-23","1","39900","2.506265664160401e-05"
"2015-03-24","1","46977","2.128701279349469e-05"
"2015-03-25","3","47498","6.316055412859488e-05"
"2015-03-26","2","47964","4.1697940121757986e-05"
"2015-03-27","2","45871","4.3600531926489505e-05"
"2015-03-28","2","28719","6.964030781016052e-05"
"2015-03-29","1","29113","3.4348916291691e-05"
"2015-03-30","21","42132","0.0004984334947308459"
"2015-03-31","9","47423","0.000189781329734517"
"2015-04-01","16","48697","0.00032856233443538614"
"2015-04-02","7","45477","0.00015392396156298788"
"2015-04-03","6","37789","0.0001587763634920215"
"2015-04-04","2","28126","7.110858280594468e-05"
"2015-04-05","16","26625","0.0006009389671361502"
"2015-04-06","0","41793","0"
"2015-04-07","11","47688","0.00023066599563831573"
"2015-04-08","2","48590","4.1160732661041366e-05"
"2015-04-09","7","48911","0.00014311709022510273"
"2015-04-10","3","45137","6.646431973768749e-05"
"2015-04-11","4","27601","0.00014492228542444115"
"2015-04-12","1","30294","3.3009836931405556e-05"
"2015-04-13","6","43916","0.00013662446488751253"
"2015-04-14","2","48662","4.109983149069089e-05"
"2015-04-15","5","51369","9.733496856080515e-05"
"2015-04-16","3","44825","6.692693809258227e-05"
"2015-04-17","4","41002","9.755621676991366e-05"
"2015-04-18","0","28800","0"
"2015-04-19","1","29544","3.3847820200379094e-05"
"2015-04-20","1","45486","2.1984786527722815e-05"
