Month,Veganism
2011-01,26
2011-02,29
2011-03,28
2011-04,30
2011-05,27
2011-06,25
2011-07,25
2011-08,28
2011-09,30
2011-10,32
2011-11,34
2011-12,30
2012-01,34
2012-02,35
2012-03,34
2012-04,32
2012-05,31
2012-06,36
2012-07,35
2012-08,32
2012-09,34
2012-10,31
2012-11,34
2012-12,37
2013-01,40
2013-02,40
2013-03,38
2013-04,36
2013-05,35
2013-06,35
2013-07,36
2013-08,36
2013-09,34
2013-10,35
2013-11,39
2013-12,38
2014-01,41
2014-02,39
2014-03,40
2014-04,36
2014-05,34
2014-06,34
2014-07,36
2014-08,35
2014-09,32
2014-10,32
2014-11,37
2014-12,35
2015-01,37
2015-02,35
2015-03,35
2015-04,34
2015-05,36
2015-06,38
2015-07,41
2015-08,40
2015-09,40
2015-10,43
2015-11,46
2015-12,46
2016-01,53
2016-02,53
2016-03,56
2016-04,57
2016-05,61
2016-06,59
2016-07,59
2016-08,55
2016-09,52
2016-10,59
2016-11,75
2016-12,92
2017-01,62
2017-02,59
2017-03,62
2017-04,59
2017-05,57
2017-06,64
2017-07,100
2017-08,100
2017-09,84
2017-10,83
2017-11,92
2017-12,87
2018-01,96
2018-02,87
2018-03,90
2018-04,82
2018-05,76
2018-06,80
2018-07,83
2018-08,79
2018-09,73
2018-10,79
2018-11,82
2018-12,84
2019-01,88
2019-02,80
2019-03,81
2019-04,80
2019-05,78
2019-06,81
2019-07,82
2019-08,81
2019-09,75
2019-10,81
2019-11,100
2019-12,94
2020-01,100
2020-02,94
2020-03,72
2020-04,76
2020-05,79
2020-06,77
2020-07,84
2020-08,82
2020-09,79
2020-10,77
2020-11,79
2020-12,80
