date,fake_news,qanon
2015-01,1,50
2015-02,2,50
2015-03,2,48
2015-04,2,47
2015-05,2,49
2015-06,1,45
2015-07,2,46
2015-08,2,48
2015-09,2,48
2015-10,2,52
2015-11,2,44
2015-12,2,44
2016-01,1,46
2016-02,2,45
2016-03,1,51
2016-04,2,52
2016-05,2,56
2016-06,2,54
2016-07,2,58
2016-08,1,56
2016-09,2,55
2016-10,2,51
2016-11,14,50
2016-12,20,23
2017-01,26,22
2017-02,30,22
2017-03,21,23
2017-04,18,23
2017-05,17,19
2017-06,19,19
2017-07,16,19
2017-08,14,17
2017-09,16,16
2017-10,18,16
2017-11,17,18
2017-12,15,20
2018-01,29,23
2018-02,20,25
2018-03,19,25
2018-04,21,28
2018-05,17,28
2018-06,18,27
2018-07,18,31
2018-08,19,52
2018-09,25,29
2018-10,43,44
2018-11,26,59
2018-12,15,65
2019-01,19,66
2019-02,19,64
2019-03,20,54
2019-04,18,24
2019-05,18,23
2019-06,16,23
2019-07,13,32
2019-08,16,31
2019-09,18,25
2019-10,20,24
2019-11,21,24
2019-12,15,20
2020-01,17,19
2020-02,23,19
2020-03,56,36
2020-04,48,41
2020-05,40,35
2020-06,31,36
2020-07,21,61
2020-08,20,100
2020-09,22,52
2020-10,23,69
2020-11,23,49
2020-12,17,28
