"created_at","screen_name","source","retweet_count"
2021-03-24 08:53:52,"DoYourThingUK","Twitter for iPhone",0
2021-03-24 08:53:25,"DoYourThingUK","Twitter for iPhone",0
2021-03-24 08:53:52,"AlexS1595","Twitter for iPhone",3
2021-03-24 08:53:51,"MakesworthAcc","Twitter Web App",0
2021-03-24 08:53:39,"MakesworthAcc","Twitter Web App",4
2021-03-24 08:53:51,"GGrahambute","Twitter for iPad",96
2021-03-24 08:53:50,"esmasavas_onac","Twitter for iPhone",0
2021-03-24 08:53:49,"marcin_lukawski","Twitter for Android",1
2021-03-24 08:53:49,"LebodyRanya","Twitter for Android",0
2021-03-24 08:53:49,"MuireannRanta","Twitter Web App",3
2021-03-24 08:53:49,"LoubekB","Twitter Web App",3
2021-03-24 08:53:48,"hmtsite","HMTS_コンテンツ自動生成",0
2021-03-24 08:53:48,"Kittyhawk681","Twitter Web App",1285
2021-03-24 08:53:27,"viralvideovlogs","Naattuvartha",5
2021-03-24 08:53:48,"viralvideovlogs","Naattuvartha",2
2021-03-24 08:53:48,"Gate_15_Ransom","Twitter for iPhone",6
2021-03-24 08:53:48,"Lil_3arbiii","Twitter for iPhone",1627
2021-03-24 08:53:47,"qmike5491","Twitter Web App",0
2021-03-24 08:53:47,"anshunandanpra4","Twitter for Android",2
2021-03-24 08:53:47,"eb_macpherson","Twitter for iPhone",3
2021-03-24 08:53:45,"dzbreaking1","Twitter Web App",0
2021-03-24 08:53:45,"ironorehopper","Twitter Web App",0
2021-03-24 08:53:45,"IndiaCzech","Twitter Web App",55
2021-03-24 08:53:45,"biancathemaker","Twitter Web App",0
2021-03-24 08:53:45,"edendomain","Twitter for iPhone",486
2021-03-24 08:53:44,"insoumise007","Twitter for Android",5
2021-03-24 08:53:44,"BBVA_Trader","Twitter Web App",0
2021-03-24 08:53:44,"Andecave","Twitter Web App",20
2021-03-24 08:53:43,"Metamorfopsies","Twitter for Android",0
2021-03-24 08:53:43,"keepsmiling_130","Twitter for Android",164
2021-03-24 08:53:43,"Irigyt","Twitter Web App",1
2021-03-24 08:53:43,"lovebresil01","Twitter for Android",81
2021-03-24 08:53:42,"LightHealing","Twitter for Android",1
2021-03-24 08:53:42,"lewisabzueta","Twitter for Android",822
2021-03-24 08:53:42,"rosaesaa26","Twitter for Android",983
2021-03-24 08:53:42,"jonvthvn08","Twitter for iPhone",768
2021-03-24 08:53:42,"TomekOdra","Twitter for Android",32
2021-03-24 08:53:42,"JamesAn26254230","Twitter for Android",201
