week;searches
03/01/16;33
10/01/16;30
17/01/16;36
24/01/16;37
31/01/16;26
07/02/16;35
14/02/16;35
21/02/16;33
28/02/16;28
06/03/16;44
13/03/16;38
20/03/16;41
27/03/16;35
03/04/16;43
10/04/16;38
17/04/16;55
24/04/16;42
01/05/16;52
08/05/16;39
15/05/16;41
22/05/16;45
29/05/16;39
05/06/16;36
12/06/16;28
19/06/16;29
26/06/16;25
03/07/16;29
10/07/16;36
17/07/16;34
24/07/16;37
31/07/16;24
07/08/16;42
14/08/16;37
21/08/16;25
28/08/16;37
04/09/16;32
11/09/16;32
18/09/16;35
25/09/16;38
02/10/16;33
09/10/16;38
16/10/16;27
23/10/16;37
30/10/16;36
06/11/16;34
13/11/16;30
20/11/16;26
27/11/16;44
04/12/16;45
11/12/16;31
18/12/16;18
25/12/16;41
01/01/17;33
08/01/17;35
15/01/17;30
22/01/17;32
29/01/17;34
05/02/17;27
12/02/17;41
19/02/17;41
26/02/17;41
05/03/17;28
12/03/17;38
19/03/17;47
26/03/17;50
02/04/17;33
09/04/17;38
16/04/17;37
23/04/17;36
30/04/17;35
07/05/17;35
14/05/17;28
21/05/17;37
28/05/17;34
04/06/17;29
11/06/17;35
18/06/17;27
25/06/17;29
02/07/17;42
09/07/17;36
16/07/17;46
23/07/17;51
30/07/17;46
06/08/17;34
13/08/17;34
20/08/17;39
27/08/17;34
03/09/17;39
10/09/17;38
17/09/17;34
24/09/17;41
01/10/17;38
08/10/17;52
15/10/17;39
22/10/17;41
29/10/17;39
05/11/17;35
12/11/17;42
19/11/17;41
26/11/17;39
03/12/17;43
10/12/17;39
17/12/17;44
24/12/17;46
31/12/17;57
07/01/18;53
14/01/18;38
21/01/18;48
28/01/18;58
04/02/18;49
11/02/18;43
18/02/18;49
25/02/18;51
04/03/18;49
11/03/18;45
18/03/18;42
25/03/18;55
01/04/18;54
08/04/18;50
15/04/18;54
22/04/18;48
29/04/18;49
06/05/18;40
13/05/18;45
20/05/18;34
27/05/18;36
03/06/18;50
10/06/18;42
17/06/18;34
24/06/18;40
01/07/18;34
08/07/18;37
15/07/18;27
22/07/18;34
29/07/18;39
05/08/18;33
12/08/18;35
19/08/18;40
26/08/18;38
02/09/18;38
09/09/18;35
16/09/18;39
23/09/18;45
30/09/18;43
07/10/18;41
14/10/18;51
21/10/18;40
28/10/18;47
04/11/18;58
11/11/18;48
18/11/18;43
25/11/18;43
02/12/18;60
09/12/18;36
16/12/18;42
23/12/18;32
30/12/18;63
06/01/19;52
13/01/19;47
20/01/19;47
27/01/19;48
03/02/19;49
10/02/19;45
17/02/19;44
24/02/19;56
03/03/19;48
10/03/19;58
17/03/19;39
24/03/19;32
31/03/19;47
07/04/19;47
14/04/19;38
21/04/19;47
28/04/19;44
05/05/19;50
12/05/19;48
19/05/19;40
26/05/19;33
02/06/19;31
09/06/19;36
16/06/19;29
23/06/19;33
30/06/19;33
07/07/19;43
14/07/19;35
21/07/19;33
28/07/19;37
04/08/19;32
11/08/19;38
18/08/19;37
25/08/19;36
01/09/19;28
08/09/19;43
15/09/19;40
22/09/19;47
29/09/19;36
06/10/19;40
13/10/19;44
20/10/19;45
27/10/19;48
03/11/19;58
10/11/19;54
17/11/19;52
24/11/19;48
01/12/19;57
08/12/19;38
15/12/19;32
22/12/19;33
29/12/19;100
05/01/20;74
12/01/20;68
19/01/20;64
26/01/20;56
02/02/20;44
09/02/20;59
16/02/20;41
23/02/20;47
01/03/20;47
08/03/20;65
15/03/20;47
22/03/20;47
29/03/20;47
05/04/20;49
12/04/20;58
19/04/20;52
26/04/20;53
03/05/20;52
10/05/20;30
17/05/20;40
24/05/20;26
31/05/20;37
07/06/20;31
14/06/20;31
21/06/20;32
28/06/20;35
05/07/20;35
12/07/20;38
19/07/20;27
26/07/20;37
02/08/20;24
09/08/20;28
16/08/20;41
23/08/20;36
30/08/20;42
06/09/20;52
13/09/20;45
20/09/20;44
27/09/20;46
04/10/20;43
11/10/20;51
18/10/20;42
25/10/20;38
01/11/20;35
08/11/20;41
15/11/20;45
22/11/20;38
29/11/20;39
